productname;date;farmprice;atlantaretail;chicagoretail;losangelesretail;newyorkretail;averagespread
Carrots;2015-12-27;$0.31;$0.94;$0.90;$0.99;$1.07;214.52%
Cauliflower;2015-12-27;$3.50;$3.94;$3.61;$3.86;$5.49;20.71%
Celery;2015-12-27;$1.65;$1.51;$1.86;$1.64;$1.62;0.45%
Iceberg Lettuce;2015-12-20;$0.86;$1.49;$1.86;$1.74;$1.82;100.87%
Oranges;2015-12-20;$;$1.89;$1.27;$0.99;$1.65;0.00%
Potatoes;2015-12-20;$1.05;$5.31;$3.86;$3.99;$4.32;316.19%
Red Leaf Lettuce;2015-12-20;$0.53;$1.65;$1.72;$1.67;$1.95;229.72%
Romaine Lettuce;2015-12-20;$0.49;$1.86;$2.20;$1.74;$1.99;297.45%
Strawberries;2015-12-20;$2.63;$3.37;$3.99;$4.99;$4.36;58.84%
Broccoli Crowns;2015-12-20;$1.35;$2.01;$2.04;$2.09;$2.35;57.22%
Carrots;2015-12-20;$0.31;$0.95;$0.94;$0.99;$1.07;218.55%
Cauliflower;2015-12-20;$3.69;$4.74;$4.36;$4.08;$4.99;23.10%
Celery;2015-12-20;$1.62;$1.40;$1.99;$2.09;$1.62;9.57%
Green Leaf Lettuce;2015-12-20;$0.58;$1.49;$1.51;$1.67;$1.84;180.60%
Iceberg Lettuce;2015-12-13;$1.03;$1.61;$1.86;$1.74;$1.81;70.39%
Oranges;2015-12-13;$0.45;$1.57;$1.27;$0.99;$2.05;226.67%
Red Leaf Lettuce;2015-12-13;$0.62;$1.65;$1.72;$1.67;$1.93;181.05%
Romaine Lettuce;2015-12-13;$0.62;$1.74;$2.09;$1.67;$2.16;208.87%
Broccoli Bunches;2015-12-13;$1.72;$2.62;$2.49;$1.69;$2.84;40.12%
Strawberries;2015-12-13;$2.06;$3.86;$4.12;$4.99;$4.37;110.44%
Broccoli Crowns;2015-12-13;$1.61;$2.07;$2.14;$1.99;$1.78;23.91%
Carrots;2015-12-13;$0.31;$1.01;$0.90;$0.79;$1.07;204.03%
Cauliflower;2015-12-13;$4.04;$5.74;$3.56;$4.43;$5.49;18.94%
Celery;2015-12-13;$1.83;$1.28;$1.74;$1.77;$1.56;-13.25%
Flame Grapes;2015-12-13;$0.94;$3.24;$2.49;$3.37;$3.19;226.86%
Green Leaf Lettuce;2015-12-13;$0.67;$2.11;$1.58;$1.67;$1.81;167.54%
Potatoes;2015-12-06;$1.15;$5.71;$3.88;$3.99;$3.75;276.74%
Red Leaf Lettuce;2015-12-06;$0.69;$1.55;$1.62;$1.67;$1.86;142.75%
Broccoli Bunches;2015-12-06;$1.56;$2.66;$2.25;$1.59;$2.48;43.91%
Romaine Lettuce;2015-12-06;$0.62;$1.65;$2.08;$1.74;$2.91;237.90%
Broccoli Crowns;2015-12-06;$1.53;$1.74;$1.82;$2.22;$2.12;29.08%
Strawberries;2015-12-06;$2.06;$4.49;$4.99;$4.99;$5.11;137.62%
Carrots;2015-12-06;$0.31;$0.94;$0.90;$0.99;$1.07;214.52%
Cauliflower;2015-12-06;$3.87;$3.92;$3.56;$3.86;$5.49;8.72%
Celery;2015-12-06;$1.44;$2.01;$1.86;$1.64;$1.74;25.87%
Flame Grapes;2015-12-06;$0.94;$3.21;$2.61;$3.49;$2.74;220.48%
Green Leaf Lettuce;2015-12-06;$0.72;$1.65;$1.42;$1.67;$1.75;125.35%
Iceberg Lettuce;2015-12-06;$0.96;$1.49;$1.74;$1.77;$1.76;76.04%
Oranges;2015-12-06;$0.50;$1.61;$1.27;$1.29;$1.65;191.00%
Romaine Lettuce;2015-11-29;$0.95;$2.73;$1.98;$1.67;$2.22;126.32%
Broccoli Crowns;2015-11-29;$1.46;$2.04;$1.82;$2.09;$1.33;24.66%
Strawberries;2015-11-29;$3.38;$4.99;$5.74;$4.99;$4.49;49.48%
Carrots;2015-11-29;$0.31;$0.88;$0.91;$0.99;$1.07;210.48%
Cauliflower;2015-11-29;$3.76;$2.88;$3.48;$3.88;$3.99;-5.39%
Celery;2015-11-29;$1.17;$2.21;$1.59;$1.52;$1.74;50.85%
Flame Grapes;2015-11-29;$0.92;$2.79;$2.49;$3.24;$2.86;209.24%
Green Leaf Lettuce;2015-11-29;$0.97;$1.62;$1.48;$1.64;$1.79;68.30%
Iceberg Lettuce;2015-11-29;$1.46;$1.49;$1.57;$1.67;$1.76;11.13%
Oranges;2015-11-29;$0.50;$1.51;$1.27;$0.92;$1.85;177.50%
Potatoes;2015-11-29;$1.15;$5.74;$3.63;$3.99;$3.99;277.17%
Red Leaf Lettuce;2015-11-29;$0.86;$1.65;$1.62;$1.64;$1.90;97.97%
Broccoli Bunches;2015-11-29;$1.51;$2.75;$2.24;$1.59;$2.74;54.30%
Cauliflower;2015-11-22;$3.55;$3.26;$3.08;$3.25;$3.99;-4.37%
Celery;2015-11-22;$1.11;$2.13;$1.13;$1.52;$1.41;39.41%
Flame Grapes;2015-11-22;$1.00;$3.24;$2.06;$2.49;$2.36;153.75%
Green Leaf Lettuce;2015-11-22;$1.05;$1.65;$1.34;$1.57;$1.69;48.81%
Iceberg Lettuce;2015-11-22;$1.50;$1.49;$1.44;$1.67;$1.76;6.00%
Oranges;2015-11-22;$0.53;$1.75;$1.27;$1.07;$1.85;180.19%
Potatoes;2015-11-22;$1.15;$4.62;$3.88;$3.99;$3.75;253.04%
Red Leaf Lettuce;2015-11-22;$0.93;$1.55;$1.66;$1.57;$1.79;76.61%
Romaine Lettuce;2015-11-22;$1.26;$1.69;$2.08;$1.67;$2.05;48.61%
Broccoli Crowns;2015-11-22;$1.50;$2.04;$1.82;$1.89;$1.63;23.00%
Strawberries;2015-11-22;$3.75;$5.32;$5.49;$4.99;$5.66;43.07%
Carrots;2015-11-22;$0.31;$0.92;$0.90;$0.99;$1.14;218.55%
Broccoli Bunches;2015-11-22;$1.66;$2.22;$2.15;$1.29;$2.74;26.51%
Flame Grapes;2015-11-15;$1.01;$2.69;$1.74;$2.42;$2.74;137.38%
Green Leaf Lettuce;2015-11-15;$0.94;$1.36;$1.44;$1.57;$1.61;59.04%
Iceberg Lettuce;2015-11-15;$1.42;$1.36;$1.44;$1.62;$1.86;10.56%
Oranges;2015-11-15;$0.55;$1.52;$1.23;$1.07;$1.78;154.55%
Potatoes;2015-11-15;$1.15;$6.10;$3.84;$3.74;$4.47;294.57%
Red Leaf Lettuce;2015-11-15;$0.87;$1.25;$1.58;$1.57;$1.79;77.87%
Broccoli Bunches;2015-11-15;$1.43;$2.54;$2.15;$1.19;$2.65;49.13%
Romaine Lettuce;2015-11-15;$1.15;$1.69;$1.93;$1.73;$2.07;61.30%
Broccoli Crowns;2015-11-15;$1.32;$2.19;$1.70;$1.84;$1.48;36.55%
Strawberries;2015-11-15;$3.75;$4.49;$4.99;$4.99;$5.49;33.07%
Carrots;2015-11-15;$0.31;$1.09;$0.90;$0.99;$1.04;224.19%
Cauliflower;2015-11-15;$3.06;$3.09;$3.06;$3.04;$3.49;3.59%
Celery;2015-11-15;$1.11;$1.64;$1.31;$1.34;$1.49;30.18%
Oranges;2015-11-08;$0.55;$1.68;$1.44;$1.07;$1.79;171.82%
Broccoli Bunches;2015-11-08;$0.87;$2.39;$2.15;$1.49;$2.65;149.43%
Potatoes;2015-11-08;$1.15;$5.34;$3.84;$3.99;$4.46;283.26%
Broccoli Crowns;2015-11-08;$0.92;$2.15;$1.70;$1.84;$1.83;104.35%
Red Leaf Lettuce;2015-11-08;$0.65;$1.69;$1.50;$1.57;$1.84;153.85%
Cantaloupe;2015-11-08;$0.87;$4.49;$3.06;$2.85;$3.31;293.97%
Romaine Lettuce;2015-11-08;$0.96;$1.56;$1.95;$1.67;$2.27;94.01%
Carrots;2015-11-08;$0.31;$0.94;$0.90;$0.99;$1.07;214.52%
Strawberries;2015-11-08;$3.00;$3.74;$3.42;$4.24;$4.99;36.58%
Cauliflower;2015-11-08;$2.40;$3.31;$3.06;$3.18;$3.24;33.23%
Celery;2015-11-08;$0.97;$1.79;$1.76;$1.79;$1.86;85.57%
Flame Grapes;2015-11-08;$0.94;$2.56;$2.36;$2.19;$2.36;151.86%
Green Leaf Lettuce;2015-11-08;$0.71;$1.61;$1.34;$1.57;$1.73;120.07%
Honeydews;2015-11-08;$1.42;$4.49;$3.65;$3.97;$4.74;196.65%
Iceberg Lettuce;2015-11-08;$1.17;$1.36;$1.44;$1.67;$1.44;26.28%
Cantaloupe;2015-11-01;$0.87;$2.76;$3.06;$2.47;$3.37;235.06%
Strawberries;2015-11-01;$2.56;$3.99;$3.26;$3.99;$4.66;55.27%
Carrots;2015-11-01;$0.31;$1.09;$0.91;$0.99;$1.13;232.26%
Cauliflower;2015-11-01;$1.55;$3.09;$3.14;$3.58;$4.11;124.52%
Celery;2015-11-01;$0.87;$1.81;$1.86;$1.79;$1.86;110.34%
Flame Grapes;2015-11-01;$0.94;$2.44;$1.49;$2.12;$2.99;140.43%
Green Leaf Lettuce;2015-11-01;$0.52;$1.36;$1.40;$1.54;$1.65;186.06%
Honeydews;2015-11-01;$1.54;$4.49;$3.65;$3.97;$4.74;173.54%
Iceberg Lettuce;2015-11-01;$1.05;$1.36;$1.45;$1.67;$1.86;50.95%
Oranges;2015-11-01;$0.55;$1.52;$1.31;$1.42;$1.95;181.82%
Broccoli Bunches;2015-11-01;$0.81;$2.54;$2.24;$1.49;$2.65;175.31%
Red Leaf Lettuce;2015-11-01;$0.46;$1.25;$1.53;$1.54;$1.79;232.07%
Broccoli Crowns;2015-11-01;$0.79;$2.35;$1.62;$1.84;$1.83;141.77%
Romaine Lettuce;2015-11-01;$0.83;$1.69;$1.85;$1.74;$2.39;131.02%
Flame Grapes;2015-10-25;$0.94;$2.32;$1.49;$2.12;$2.23;117.02%
Green Leaf Lettuce;2015-10-25;$0.43;$1.61;$1.34;$1.57;$1.63;257.56%
Honeydews;2015-10-25;$1.54;$4.49;$3.65;$3.97;$4.74;173.54%
Iceberg Lettuce;2015-10-25;$0.99;$1.36;$1.44;$1.67;$1.61;53.54%
Oranges;2015-10-25;$0.54;$1.68;$1.44;$1.47;$1.95;202.78%
Broccoli Bunches;2015-10-25;$0.95;$2.42;$2.15;$1.66;$2.65;133.68%
Red Leaf Lettuce;2015-10-25;$0.38;$1.69;$1.50;$1.57;$1.73;326.97%
Broccoli Crowns;2015-10-25;$0.88;$2.15;$1.70;$1.84;$1.83;113.64%
Romaine Lettuce;2015-10-25;$0.81;$1.56;$1.95;$1.67;$1.95;120.06%
Cantaloupe;2015-10-25;$0.79;$3.81;$2.94;$2.60;$3.19;296.84%
Strawberries;2015-10-25;$2.17;$3.31;$2.99;$3.74;$4.66;69.35%
Carrots;2015-10-25;$0.31;$0.94;$0.90;$0.99;$1.07;214.52%
Cauliflower;2015-10-25;$1.15;$3.31;$2.24;$2.73;$3.49;155.87%
Celery;2015-10-25;$0.87;$1.79;$1.76;$1.79;$2.09;113.51%
Oranges;2015-10-18;$0.50;$1.52;$1.44;$1.79;$1.83;229.00%
Broccoli Bunches;2015-10-18;$1.12;$2.26;$2.15;$1.49;$2.49;87.28%
Red Leaf Lettuce;2015-10-18;$0.37;$1.44;$1.49;$1.54;$1.90;330.41%
Broccoli Crowns;2015-10-18;$0.96;$2.37;$1.70;$1.84;$1.90;103.39%
Tomatoes;2015-10-18;$0.52;$1.49;$1.26;$1.69;$1.90;204.81%
Cantaloupe;2015-10-18;$0.87;$2.92;$2.94;$2.80;$3.19;240.52%
Romaine Lettuce;2015-10-18;$0.83;$1.56;$1.76;$1.71;$2.17;116.87%
Carrots;2015-10-18;$0.31;$0.94;$0.90;$0.99;$1.13;219.35%
Strawberries;2015-10-18;$1.88;$3.24;$2.92;$3.12;$3.81;74.07%
Cauliflower;2015-10-18;$1.78;$3.19;$3.06;$3.83;$4.74;108.15%
Celery;2015-10-18;$0.09;$1.79;$1.61;$1.77;$1.74;"1;819.44%"
Flame Grapes;2015-10-18;$0.89;$2.06;$2.06;$1.94;$2.24;133.15%
Green Leaf Lettuce;2015-10-18;$0.42;$1.36;$1.36;$1.54;$1.75;257.74%
Honeydews;2015-10-18;$1.42;$4.49;$3.22;$3.96;$4.49;184.51%
Iceberg Lettuce;2015-10-18;$0.83;$1.36;$1.44;$1.62;$2.11;96.69%
Strawberries;2015-10-11;$1.79;$3.11;$2.57;$3.62;$3.99;85.61%
Cauliflower;2015-10-11;$2.02;$3.19;$2.99;$2.93;$3.24;52.85%
Celery;2015-10-11;$0.66;$1.74;$1.69;$1.79;$1.94;171.21%
Flame Grapes;2015-10-11;$0.89;$2.31;$1.96;$1.49;$2.24;124.72%
Green Leaf Lettuce;2015-10-11;$0.35;$1.61;$1.30;$1.54;$1.94;356.43%
Honeydews;2015-10-11;$1.42;$3.99;$3.74;$3.97;$4.99;193.84%
Iceberg Lettuce;2015-10-11;$0.51;$1.49;$1.44;$1.67;$2.11;228.92%
Oranges;2015-10-11;$0.50;$1.61;$1.44;$1.87;$1.68;230.00%
Broccoli Bunches;2015-10-11;$1.10;$2.59;$2.12;$1.49;$2.65;101.14%
Red Leaf Lettuce;2015-10-11;$0.31;$1.44;$1.45;$1.54;$2.06;423.39%
Broccoli Crowns;2015-10-11;$0.89;$2.00;$1.70;$1.84;$1.78;105.62%
Tomatoes;2015-10-11;$0.62;$1.49;$1.26;$1.44;$1.90;145.56%
Cantaloupe;2015-10-11;$0.87;$2.92;$3.06;$2.72;$5.18;298.85%
Romaine Lettuce;2015-10-11;$0.70;$1.36;$1.87;$1.59;$2.52;162.14%
Carrots;2015-10-11;$0.31;$0.94;$0.90;$0.99;$1.13;219.35%
Honeydews;2015-10-04;$1.44;$3.24;$3.74;$3.50;$4.99;168.58%
Iceberg Lettuce;2015-10-04;$0.47;$1.36;$1.56;$1.67;$1.86;243.09%
Oranges;2015-10-04;$0.50;$1.58;$1.44;$1.29;$1.68;199.50%
Red Leaf Lettuce;2015-10-04;$0.31;$1.51;$1.49;$1.54;$2.01;428.23%
Tomatoes;2015-10-04;$0.58;$1.49;$1.16;$1.99;$1.45;162.50%
Cantaloupe;2015-10-04;$0.87;$2.94;$3.06;$2.57;$3.24;239.37%
Romaine Lettuce;2015-10-04;$0.63;$1.46;$1.76;$1.71;$2.02;175.79%
Carrots;2015-10-04;$0.31;$0.94;$0.87;$0.99;$1.13;216.94%
Strawberries;2015-10-04;$1.67;$2.99;$2.57;$3.37;$3.49;85.93%
Cauliflower;2015-10-04;$1.58;$3.26;$3.06;$4.03;$4.86;140.66%
Celery;2015-10-04;$0.44;$1.65;$1.59;$1.79;$1.86;291.48%
Flame Grapes;2015-10-04;$0.89;$2.19;$1.41;$2.09;$2.11;119.10%
Green Leaf Lettuce;2015-10-04;$0.32;$1.36;$1.36;$1.54;$1.86;378.13%
Broccoli Bunches;2015-10-04;$0.98;$2.52;$2.07;$1.99;$2.81;139.54%
Broccoli Crowns;2015-10-04;$0.80;$2.02;$1.62;$1.84;$1.90;130.63%
Red Leaf Lettuce;2015-09-27;$0.31;$1.44;$1.49;$1.54;$2.01;422.58%
Broccoli Crowns;2015-09-27;$0.90;$1.93;$1.92;$1.82;$2.03;113.89%
Romaine Lettuce;2015-09-27;$0.55;$1.61;$1.76;$1.59;$2.02;217.27%
Cantaloupe;2015-09-27;$0.89;$2.43;$2.99;$2.47;$2.49;191.57%
Strawberries;2015-09-27;$1.42;$3.36;$3.49;$3.24;$3.99;147.89%
Carrots;2015-09-27;$0.30;$0.94;$0.90;$0.99;$1.13;230.00%
Cauliflower;2015-09-27;$1.08;$3.31;$3.21;$3.28;$3.12;199.07%
Celery;2015-09-27;$0.44;$1.80;$1.41;$1.79;$1.80;286.36%
Flame Grapes;2015-09-27;$0.89;$2.09;$1.81;$2.21;$2.11;130.90%
Green Leaf Lettuce;2015-09-27;$0.32;$1.44;$1.30;$1.54;$1.86;379.69%
Honeydews;2015-09-27;$1.42;$3.24;$3.74;$3.59;$4.49;165.14%
Iceberg Lettuce;2015-09-27;$0.82;$1.11;$1.54;$1.67;$2.24;100.00%
Oranges;2015-09-27;$0.50;$1.51;$1.44;$1.29;$1.68;196.00%
Broccoli Bunches;2015-09-27;$1.07;$2.36;$1.96;$1.49;$2.49;93.93%
Flame Grapes;2015-09-20;$0.89;$1.99;$1.84;$1.97;$2.11;122.19%
Green Leaf Lettuce;2015-09-20;$0.39;$1.36;$1.30;$1.54;$1.86;288.46%
Honeydews;2015-09-20;$1.17;$3.16;$3.86;$3.59;$4.49;222.65%
Iceberg Lettuce;2015-09-20;$1.12;$1.24;$1.54;$1.67;$1.98;43.53%
Oranges;2015-09-20;$0.47;$1.58;$1.44;$1.29;$1.68;218.62%
Broccoli Bunches;2015-09-20;$1.02;$2.52;$2.12;$1.49;$2.49;111.27%
Plums;2015-09-20;$0.93;$0.00;$1.89;$1.74;$0.00;-2.42%
Broccoli Crowns;2015-09-20;$0.82;$1.93;$1.92;$2.02;$2.03;140.85%
Red Leaf Lettuce;2015-09-20;$0.38;$1.25;$1.49;$1.54;$2.01;313.82%
Cantaloupe;2015-09-20;$0.88;$2.22;$2.99;$2.10;$2.99;192.61%
Tomatoes;2015-09-20;$0.48;$1.49;$1.06;$1.37;$1.60;187.50%
Carrots;2015-09-20;$0.30;$0.94;$0.90;$0.99;$1.13;230.00%
Romaine Lettuce;2015-09-20;$0.65;$1.49;$1.76;$1.59;$2.02;163.85%
Cauliflower;2015-09-20;$0.86;$3.24;$3.21;$2.93;$3.62;277.91%
Strawberries;2015-09-20;$1.13;$3.36;$2.83;$3.37;$3.99;199.78%
Celery;2015-09-20;$0.54;$1.80;$1.41;$1.79;$1.86;217.59%
Red Leaf Lettuce;2015-09-13;$0.39;$1.36;$1.49;$1.49;$1.74;289.74%
Carrots;2015-09-13;$0.30;$0.94;$0.90;$0.99;$1.13;230.00%
Tomatoes;2015-09-13;$0.48;$1.49;$1.24;$1.37;$1.51;192.19%
Cauliflower;2015-09-13;$1.22;$3.24;$3.11;$4.03;$3.49;184.22%
Romaine Lettuce;2015-09-13;$1.07;$1.44;$1.76;$1.65;$2.02;60.51%
Celery;2015-09-13;$0.58;$1.80;$1.66;$1.79;$1.91;208.62%
Strawberries;2015-09-13;$1.25;$2.86;$2.49;$3.74;$3.99;161.60%
Flame Grapes;2015-09-13;$0.89;$2.19;$1.64;$1.84;$1.86;111.52%
Thompson Grapes;2015-09-13;$0.94;$2.11;$1.76;$1.84;$2.11;107.98%
Green Leaf Lettuce;2015-09-13;$0.44;$1.36;$1.36;$1.49;$1.61;230.68%
Honeydews;2015-09-13;$0.92;$3.56;$3.86;$3.50;$4.74;325.54%
Iceberg Lettuce;2015-09-13;$1.27;$1.36;$1.36;$1.54;$1.81;19.49%
Oranges;2015-09-13;$0.45;$1.58;$1.44;$1.12;$1.57;217.22%
Broccoli Bunches;2015-09-13;$1.19;$2.52;$2.12;$1.49;$2.32;77.52%
Peaches;2015-09-13;$0.60;$1.68;$2.01;$1.62;$1.98;203.75%
Broccoli Crowns;2015-09-13;$1.17;$2.37;$1.86;$1.69;$1.78;64.53%
Plums;2015-09-13;$0.93;$1.99;$1.84;$1.87;$2.99;133.60%
Cantaloupe;2015-09-13;$0.73;$2.09;$2.66;$2.04;$2.37;213.70%
Broccoli Bunches;2015-09-06;$0.98;$2.36;$2.12;$1.49;$2.25;109.69%
Oranges;2015-09-06;$0.45;$1.58;$1.51;$1.59;$2.05;273.89%
Broccoli Crowns;2015-09-06;$1.08;$2.15;$1.97;$1.82;$2.12;86.57%
Peaches;2015-09-06;$0.60;$1.68;$2.01;$1.44;$0.00;113.75%
Cantaloupe;2015-09-06;$0.65;$1.99;$2.66;$1.78;$3.25;272.31%
Plums;2015-09-06;$0.82;$0.00;$1.84;$1.87;$0.00;13.11%
Carrots;2015-09-06;$0.30;$0.94;$0.90;$0.99;$1.22;237.50%
Red Leaf Lettuce;2015-09-06;$0.32;$1.36;$1.49;$1.52;$2.02;399.22%
Cauliflower;2015-09-06;$1.36;$3.24;$3.24;$3.28;$3.87;150.55%
Tomatoes;2015-09-06;$0.44;$1.36;$1.13;$1.29;$2.09;233.52%
Celery;2015-09-06;$0.57;$1.74;$1.64;$1.79;$2.12;219.74%
Romaine Lettuce;2015-09-06;$0.53;$1.49;$1.76;$1.59;$2.02;223.58%
Flame Grapes;2015-09-06;$0.89;$1.99;$1.59;$2.62;$2.15;134.55%
Strawberries;2015-09-06;$1.31;$3.24;$2.82;$3.62;$4.24;165.65%
Green Leaf Lettuce;2015-09-06;$0.38;$1.36;$1.30;$1.52;$1.86;297.37%
Thompson Grapes;2015-09-06;$0.94;$2.04;$1.76;$2.21;$1.73;105.85%
Honeydews;2015-09-06;$0.96;$3.36;$3.86;$3.16;$5.24;306.77%
Iceberg Lettuce;2015-09-06;$0.89;$1.16;$1.36;$1.59;$1.82;66.57%
Avocados;2015-09-06;$0.72;$1.12;$1.26;$1.38;$1.16;70.83%
Nectarines;2015-09-06;$0.76;$0.00;$1.94;$1.74;$2.99;119.41%
Avocados;2015-08-30;$0.71;$1.32;$1.26;$1.17;$1.48;84.15%
Nectarines;2015-08-30;$0.76;$0.00;$1.89;$1.69;$2.99;116.12%
Broccoli Bunches;2015-08-30;$0.92;$2.36;$2.12;$1.49;$2.25;123.37%
Oranges;2015-08-30;$0.45;$1.54;$1.51;$1.37;$2.27;271.67%
Broccoli Crowns;2015-08-30;$1.05;$2.09;$1.77;$1.99;$2.24;92.62%
Peaches;2015-08-30;$0.60;$0.00;$1.69;$1.57;$1.69;106.25%
Cantaloupe;2015-08-30;$0.65;$1.87;$2.61;$1.80;$2.49;237.31%
Plums;2015-08-30;$0.82;$1.99;$1.91;$1.87;$2.99;167.07%
Carrots;2015-08-30;$0.30;$0.94;$0.90;$0.99;$1.22;237.50%
Red Leaf Lettuce;2015-08-30;$0.36;$1.36;$1.49;$1.52;$1.86;332.64%
Cauliflower;2015-08-30;$1.65;$3.06;$3.14;$4.03;$4.24;119.24%
Tomatoes;2015-08-30;$0.36;$1.36;$1.11;$1.49;$1.99;313.19%
Celery;2015-08-30;$0.56;$1.74;$1.64;$1.79;$2.17;227.68%
Romaine Lettuce;2015-08-30;$0.49;$1.73;$1.76;$1.68;$2.02;266.84%
Flame Grapes;2015-08-30;$0.89;$1.99;$1.69;$1.74;$2.99;136.24%
Strawberries;2015-08-30;$1.31;$3.41;$2.94;$3.37;$4.49;171.18%
Green Leaf Lettuce;2015-08-30;$0.42;$1.36;$1.36;$1.52;$1.71;254.17%
Thompson Grapes;2015-08-30;$0.92;$1.79;$1.89;$1.99;$2.99;135.33%
Honeydews;2015-08-30;$1.13;$3.36;$3.61;$2.66;$5.49;234.51%
Iceberg Lettuce;2015-08-30;$0.85;$1.24;$1.36;$1.57;$2.49;95.88%
Iceberg Lettuce;2015-08-23;$0.84;$1.26;$1.16;$1.59;$2.49;93.45%
Nectarines;2015-08-23;$0.68;$0.00;$1.81;$1.74;$2.99;140.44%
Oranges;2015-08-23;$0.43;$1.54;$1.46;$1.79;$2.05;297.67%
Peaches;2015-08-23;$0.60;$0.00;$1.94;$1.62;$1.99;131.25%
Plums;2015-08-23;$0.82;$0.00;$1.81;$1.87;$0.00;12.20%
Red Leaf Lettuce;2015-08-23;$0.35;$1.36;$1.49;$1.52;$1.86;345.00%
Tomatoes;2015-08-23;$0.40;$1.41;$1.24;$1.09;$2.42;285.00%
Romaine Lettuce;2015-08-23;$0.55;$1.73;$1.79;$1.59;$2.02;224.09%
Strawberries;2015-08-23;$1.56;$3.16;$3.07;$3.74;$4.49;131.73%
Thompson Grapes;2015-08-23;$0.97;$1.99;$1.74;$1.71;$1.99;91.49%
Honeydews;2015-08-23;$1.13;$3.11;$3.86;$3.21;$5.49;246.68%
Avocados;2015-08-23;$0.73;$1.32;$1.26;$1.11;$1.48;77.05%
Broccoli Bunches;2015-08-23;$1.01;$2.51;$2.24;$1.49;$2.25;110.15%
Broccoli Crowns;2015-08-23;$1.15;$1.88;$1.72;$1.82;$1.74;55.65%
Cantaloupe;2015-08-23;$0.56;$2.26;$2.37;$2.61;$2.87;351.34%
Carrots;2015-08-23;$0.30;$0.94;$0.90;$0.99;$1.22,237.50%
